job_title,company,location,salary,job_description
Software Engineer - iOS,BBC,"Salford, Greater Manchester",Competitive Salary + Benefits,"Job Introduction We are looking for Mobile Software Engineers to join the Sport App team. BBC Sport App is one of the UK's most well-known and loved brands, and we're looking for passionate team members to join our collaborative, agile, iOS team. We welcome applications from all, regardless of age, gender, ethnicity, disability, sexuality, social background, religion and/or belief. As a Software Engineer for the Sport App team, you will have the opportunity to join an engineering team that delivers an intuitive and engaging sport-oriented experience to millions of audience members every day. To be successful in this role you will need a good understanding of object-oriented programming, clean architecture, and test-driven development."
Software Engineer,Ultimate Performance Fitness,"M1, Manchester","From £50,000 to £60,000 per annum","Location- based in the heart of Manchester Salary- £50-£60k Hours: Full-time, Monday - Friday 9am - 5:30pm, hybrid (2 days a week in the office) Our mission-Ultimate Performance (U.P.) has forged a reputation as the worlds foremost body transformation experts, delivering exceptional client results under the mantra maximum results, minimum time. Our vision is to empower everyone across the world to live healthier lives. The business has grown to become the worlds only truly international personal training company, with 22 private personal training facilities across the globe and growing. But U.P. is more than just a gym. We operate world-leading online and virtual personal training, training camps, meal preparation services, as well as develop a range of premium, results-focused supplements."
Software Engineer,Precisely Software Limited,UK,Competitive,"Precisely is the leader in data integrity. We empower businesses to make more confident decisions based on trusted data through a unique combination of software, data enrichment products and strategic services. What does this mean to you? For starters, it means joining a company focused on delivering outstanding innovation and support that helps customers increase revenue, lower costs and reduce risk. In fact, Precisely powers better decisions for more than 12,000 global organizations, including 99 of the Fortune 100. Precisely's 2500 employees are unified by four company core values that are central to who we are and how we operate: Openness, Determination, Individuality, and Collaboration. We are committed to career development for our employees and offer opportunities for growth, learning and building community."
Software Engineer - Manchester - £57k,DGH Recruitment Ltd,"Manchester, Greater Manchester",£45000 - £57000 per annum,"My client is currently recruiting for an experienced Software Engineer to support a large change and transformation project. This is an excellent opportunity to work on an important project for my client and gain further exposure to technologies such as Power BI. The successful candidate will be experienced in the full software development life cycle and posses strong .NET, C# development skills Skills required * C# * ASP.NET * JavaScript * MVC * HTML * SQL Desirable * Power BI * Dynamics 365 In accordance with the Employment Agencies and Employment Businesses Regulations 2003, this position is advertised based upon DGH Recruitment Limited having first sought approval of its client to find candidates for this position. DGH Recruitment Limited acts as both an Employment Agency and Employment Business"
Graduate Software Engineer,ITECCO Limited,"Chorley, Lancashire",£20000 - £30000 per annum,"Are you ready to kick start your career as a Graduate Software Developer with one of the most exciting advertisement agencies in town? We're looking for a talented individual with a 2:1 or above who is passionate about coding and wants to work with cutting edge technologies such as C#, .NET Core, and JavaScript. As a Graduate Software Developer, you'll be working on some of the most innovative projects in the advertising industry. You'll be part of a close-knit team of developers who are dedicated to creating the best solutions for our clients. We'll provide you with an opportunity to learn from the very best in the business, allowing you to grow your skills and develop your career in a supportive and dynamic environment. We understand that work-life balance is important, which is why we offer a hybrid working policy."
Software Engineer .Net,IO Associates,"Manchester, Greater Manchester",£50000 - £70000 per annum + benefits,"Role: Software Engineer .Net Location: Remote - applicants must be UK based Salary: £50,000 - £70,000 + bonus, equity, private healthcare, career progression, truly flexible working hours, training opportunities, pension contributions & more Are you a .Net Software Engineer that wants to work for a company operating on a global scale? Looking for a role that will offer you a variety of projects to work on and the latest tools and frameworks to work with? iO Associates are partnered with a gaming scale up that are hiring multiple .Net Software Engineers as they embark on the build of a new team. With three existing teams already in place, and a number of new projects set to kick off over the next few months, we are looking for Software engineers from the Mid to Senior/Tech Lead level."
Software Engineer,Bright Purple,UK,"From £50,000 to £65,000 per annum","Heres a rare opportunity to join a global engineering design and manufacturing business who are true innovators in their sector. Using innovation and technology to maintain their position as market leaders they are now looking to enhance their Software Engineering team with a Senior Software Engineer to work remotely from anywhere in the UK using C++, C# and SQL Server! Theyre offering a salary in the region of £50k to £65k (they may go slightly higher for the right person) plus an excellent benefits package including a company bonus, life assurance (6 times your salary), long terms disability insurance, childcare vouchers, cycle to work scheme and excellent education support & mentoring to enable you to really progress your career."
Software Engineer/Data Scientist/Maths,RE&M,"WA14, Altrincham",£50000 - £60000 per annum,"Software engineers & Data Scientists are expected to contribute to all aspects of product engineering within the team developing software components for the product. Developing functionality for the product to meet the key market needs with a focus on delivering reliable, high-quality software components and a highly usable solution Developing core platform components and internal system functionality and ensuring the system as a whole meets the required performance and reliability requirements Contributing to the scoping and design of new software and supporting planning and estimating, including responsibility for estimating individual development tasks Graduate Software Engineers will have some of the following skills and experience; 1st or 2.1 Degree in a relevant Engineering, Maths or Science subject or equivalent professional experience"
Software Engineer,Sopra Steria Limited,UK,"Up to £44,000 per annum","This opportunity is for a Software Engineer looking to develop their career and move into a more Specialised area, developing Enterprise Resource and Planning applications. These applications improve the services the MOD are using to control sophisticated logistics challenges around the effective deployment and support of its people. These systems are crucial for running thousands of businesses of all sizes and in all industries, and this is a chance to specialise and hone your skills in a sector with huge career potential. You will enjoy this role if you are a hands-on technical specialist who is also interested in how end processes benefit from technical innovation. While some software engineering experience will be needed, we keen that you can bring your own ideas to the project and develop it, and your own skills, in new ways to make this role your own."
Principal Mobile Software Engineer,BBC,"Salford, Greater Manchester",Competitive Salary + Benefits,"Job Introduction The BBC Mobile Platform, part of Media Services, is an integral part of the BBC's digital-first strategy, delivering consistent user experiences and core functionality across the BBC's mobile estate. As a Principal Software Engineer within Mobile Playback, you'll be joining a team of engineers developing our media player components - the core playback engine of all video and audio content across the BBC online. The BBC is recognised throughout the world for the quality of the content that we produce and the programmes that we broadcast. We are looking for high calibre developers with a passion for technology to help us transform the experience for our audience when consuming media in the digital age. The media components we build are right at the heart of the BBC's best loved products including iPlayer, Sounds, News, and Sport, to name just a few."
