title,author,narrator,length,release_date,language,ratings
Atomic Habits,James Clear,James Clear,5 hrs and 35 mins,10-16-18,English,5
Spare,Prince Harry The Duke of Sussex,Prince Harry The Duke of Sussex,15 hrs and 39 mins,01-10-23,English,5
Lessons in Chemistry,Bonnie Garmus,"Miranda Raison, Bonnie Garmus, Pandora Sykes",11 hrs and 55 mins,04-05-22,English,4.5
Daisy Jones & The Six,Taylor Jenkins Reid,"Jennifer Beals, Benjamin Bratt, Judy Greer, Pablo Schreiber",9 hrs and 3 mins,03-05-19,English,4.5
I Will Find You,Harlan Coben,Steven Weber,10 hrs and 16 mins,03-14-23,English,4.5
The Subtle Art of Not Giving a F*ck,Mark Manson,Roger Wayne,5 hrs and 17 mins,09-13-16,English,4.5
Hello Beautiful,Ann Napolitano,Maura Tierney,15 hrs and 6 mins,03-14-23,English,4.5
Remarkably Bright Creatures,Shelby Van Pelt,"Marin Ireland, Michael Urie",11 hrs and 16 mins,05-03-22,English,5
It Ends with Us,Colleen Hoover,Olivia Song,11 hrs and 11 mins,08-02-16,English,4.5
Demon Copperhead,Barbara Kingsolver,Charlie Thurston,21 hrs and 3 mins,10-18-22,English,5
Never Finished,David Goggins,"David Goggins, Adam Skolnick, Jacqueline Gardner",11 hrs and 6 mins,12-06-22,English,5
Verity,Colleen Hoover,"Vanessa Johansson, Amy Landon",8 hrs and 10 mins,05-07-19,English,4.5
Someone Else's Shoes,Jojo Moyes,Daisy Ridley,12 hrs and 21 mins,02-07-23,English,4.5
I'm Glad My Mom Died,Jennette McCurdy,Jennette McCurdy,6 hrs and 26 mins,08-09-22,English,5
The Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"Alma Cuervo, Julia Whelan, Robin Miles",12 hrs and 10 mins,06-13-17,English,4.5
"Two Parts Sugar, One Part Murder",Valerie Burns,Jasmin Walker,6 hrs and 30 mins,08-30-22,English,4.5
"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,Jim Dale,8 hrs and 18 mins,11-20-15,English,5
Greenlights,Matthew McConaughey,Matthew McConaughey,6 hrs and 42 mins,10-20-20,English,5
Can't Hurt Me,David Goggins,"David Goggins, Adam Skolnick",13 hrs and 37 mins,11-28-18,English,5
12 Rules for Life,"Jordan B. Peterson, Norman Doidge MD",Jordan B. Peterson,15 hrs and 40 mins,01-23-18,English,4.5
It Starts with Us,Colleen Hoover,"Colin Donnell, Olivia Song",8 hrs and 41 mins,10-18-22,English,4.5
Fairy Tale,Stephen King,"Seth Numrich, Stephen King",24 hrs and 6 mins,09-06-22,English,4.5
A Court of Thorns and Roses,Sarah J. Maas,Jennifer Ikeda,16 hrs and 7 mins,05-05-15,English,4.5
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Jennifer Kim, Julian Cihi",13 hrs and 52 mins,07-05-22,English,4.5
The Ballad of Songbirds and Snakes,Suzanne Collins,Santino Fontana,16 hrs and 16 mins,05-19-20,English,4.5
8 Rules of Love,Jay Shetty,Jay Shetty,10 hrs and 11 mins,01-31-23,English,4.5
Mad Honey,"Jodi Picoult, Jennifer Finney Boylan","Carrie Coon, Key Taw, Jodi Picoult, Jennifer Finn",15 hrs and 12 mins,10-04-22,English,4.5
"Harry Potter and the Chamber of Secrets, Book 2",J.K. Rowling,Jim Dale,9 hrs and 2 mins,11-20-15,English,5
The Light We Carry,Michelle Obama,Michelle Obama,9 hrs and 59 mins,11-15-22,English,5
How to Win Friends & Influence People,Dale Carnegie,Andrew MacMillan,7 hrs and 15 mins,09-16-04,English,4.5
The Body Keeps the Score,Bessel A. van der Kolk,Sean Pratt,16 hrs and 15 mins,02-16-21,English,5
Outlive,"Peter Attia MD, Bill Gifford - contributor",Peter Attia MD,17 hrs and 7 mins,03-28-23,English,Not rated yet
The Housemaid,Freida McFadden,Lauryn Allman,9 hrs and 46 mins,04-26-22,English,4.5
"Harry Potter and the Goblet of Fire, Book 4",J.K. Rowling,Jim Dale,20 hrs and 36 mins,11-20-15,English,5
Young Forever,Dr. Mark Hyman MD,Dr. Mark Hyman MD,9 hrs and 28 mins,02-21-23,English,4.5
Project Hail Mary,Andy Weir,Ray Porter,16 hrs and 10 mins,05-04-21,English,5
"Harry Potter and the Order of the Phoenix, Book 5",J.K. Rowling,Jim Dale,26 hrs and 28 mins,11-20-15,English,5
"Harry Potter and the Prisoner of Azkaban, Book 3",J.K. Rowling,Jim Dale,11 hrs and 49 mins,11-20-15,English,5
Also a Poet,Ada Calhoun,"Ada Calhoun, Lili Taylor, Josephine Brill",6 hrs and 33 mins,06-14-22,English,4.5
